1,8,20,8,37
2,34,23,4,38
3,8,18,8,6
4,3,18,3,30
5,11,22,15,18
6,11,22,15,21
7,40,38,40,29
8,3,5,3,18
9,11,14,17,23
10,16,13,16,23
11,6,13,6,36
12,33,13,13,20
13,29,11,12,18
14,15,13,13,18
15,23,34,18,14
16,10,34,10,40
17,6,34,10,20
18,21,2,20,14
19,37,2,15,16
20,15,13,18,36
21,18,11,22,40
22,21,11,22,33
23,6,13,18,14
24,19,28,15,9
25,28,31,26,33
26,25,31,25,31
27,32,31,31,33
28,33,32,33,32
29,22,5,30,9
30,1,11,29,39
31,32,29,32,33
32,27,28,31,13
33,28,31,34,14
34,22,23,33,35
35,18,11,39,37
36,1,35,22,38
37,24,23,24,40
38,16,17,16,20
39,21,5,21,5
40,33,6,7,34
